Date,Location,HCHO Level,Urban Population,Average Elevation,Covid Lockdowns
2019-01-01,Colombo Proper,0.0001969834395781,5600000,5,0
2019-01-02,Colombo Proper,0.0002625522171968,5600000,5,0
2019-01-03,Colombo Proper,9.852118897938794e-05,5600000,5,0
2019-01-04,Colombo Proper,0.0002099320518114,5600000,5,0
2019-01-05,Colombo Proper,0.0001785337298892,5600000,5,0
2019-01-06,Colombo Proper,0.0001082296700235,5600000,5,0
2019-01-07,Colombo Proper,0.0003926829280477,5600000,5,0
2019-01-08,Colombo Proper,9.153156350685353e-05,5600000,5,0
2019-01-09,Colombo Proper,0.0001205978992853,5600000,5,0
2019-01-10,Colombo Proper,0.0001297723562983,5600000,5,0
2019-01-11,Colombo Proper,0.0002239188166801,5600000,5,0
2019-01-12,Colombo Proper,0.0001569418094178,5600000,5,0
2019-01-13,Colombo Proper,0.0001569418094178,5600000,5,0
2019-01-14,Colombo Proper,0.0001336291906862,5600000,5,0
2019-01-15,Colombo Proper,6.374417842690063e-05,5600000,5,0
2019-01-16,Colombo Proper,0.0001181062250815,5600000,5,0
2019-01-17,Colombo Proper,0.0002472555222423,5600000,5,0
2019-01-18,Colombo Proper,3.667525352047757e-05,5600000,5,0
2019-01-19,Colombo Proper,0.00040259652272540654,5600000,5,0
2019-01-20,Colombo Proper,0.0001687856216479,5600000,5,0
2019-01-21,Colombo Proper,0.0003881549328739,5600000,5,0
2019-01-22,Colombo Proper,0.0003282922940445,5600000,5,0
2019-01-23,Colombo Proper,0.0002147798144691,5600000,5,0
2019-01-24,Colombo Proper,0.000234724519641,5600000,5,0
2019-01-25,Colombo Proper,0.0002820915300341,5600000,5,0
2019-01-26,Colombo Proper,0.0002507263493088,5600000,5,0
2019-01-27,Colombo Proper,0.0001973288435314,5600000,5,0
2019-01-28,Colombo Proper,0.0002555121674807,5600000,5,0
2019-01-29,Colombo Proper,0.0002555121674807,5600000,5,0
2019-01-30,Colombo Proper,0.000171363573601,5600000,5,0
2019-01-31,Colombo Proper,0.0001523802119023,5600000,5,0
2019-02-01,Colombo Proper,0.0003537610010169,5600000,5,0
2019-02-02,Colombo Proper,0.0002755728995643,5600000,5,0
2019-02-03,Colombo Proper,0.0002318846498078,5600000,5,0
2019-02-04,Colombo Proper,0.0002318846498078,5600000,5,0
2019-02-05,Colombo Proper,0.0003618487680796,5600000,5,0
2019-02-06,Colombo Proper,0.0003430663631539,5600000,5,0
2019-02-07,Colombo Proper,0.0002123314538243,5600000,5,0
2019-02-08,Colombo Proper,0.0001679798012516,5600000,5,0
2019-02-09,Colombo Proper,0.0003816050368887,5600000,5,0
2019-02-10,Colombo Proper,0.0002650819171274,5600000,5,0
2019-02-11,Colombo Proper,0.0001981789630254,5600000,5,0
2019-02-12,Colombo Proper,5.8587178500602015e-05,5600000,5,0
2019-02-13,Colombo Proper,0.0002542805951476,5600000,5,0
2019-02-14,Colombo Proper,0.0002542805951476,5600000,5,0
2019-02-15,Colombo Proper,0.0002239912172577,5600000,5,0
2019-02-16,Colombo Proper,0.0002091493159849,5600000,5,0
2019-02-17,Colombo Proper,0.0001262731392288,5600000,5,0
2019-02-18,Colombo Proper,0.0002255146318446,5600000,5,0
2019-02-19,Colombo Proper,0.0003180786698506,5600000,5,0
2019-02-20,Colombo Proper,0.0002720768387394,5600000,5,0
2019-02-21,Colombo Proper,0.0002230429464187,5600000,5,0
2019-02-22,Colombo Proper,0.0003148949841717,5600000,5,0
2019-02-23,Colombo Proper,0.0003274182238715,5600000,5,0
2019-02-24,Colombo Proper,0.0002362989851716,5600000,5,0
2019-02-25,Colombo Proper,0.0002424675429303,5600000,5,0
2019-02-26,Colombo Proper,0.000156459748926,5600000,5,0
2019-02-27,Colombo Proper,0.0001542016842877,5600000,5,0
2019-02-28,Colombo Proper,0.0002270067709833,5600000,5,0
2019-03-01,Colombo Proper,0.0002270067709833,5600000,5,0
2019-03-02,Colombo Proper,0.0002270067709833,5600000,5,0
2019-03-03,Colombo Proper,0.0002934140276437,5600000,5,0
2019-03-04,Colombo Proper,0.0002222321497741,5600000,5,0
2019-03-05,Colombo Proper,0.00040259652272540654,5600000,5,0
2019-03-06,Colombo Proper,0.000135851958492,5600000,5,0
2019-03-07,Colombo Proper,0.0002023807303628,5600000,5,0
2019-03-08,Colombo Proper,0.0001644238164367,5600000,5,0
2019-03-09,Colombo Proper,0.0001644238164367,5600000,5,0
2019-03-10,Colombo Proper,0.0002969609827467,5600000,5,0
2019-03-11,Colombo Proper,0.0002401309050569,5600000,5,0
2019-03-12,Colombo Proper,0.0002577451751777,5600000,5,0
2019-03-13,Colombo Proper,0.0002548286008604,5600000,5,0
2019-03-14,Colombo Proper,0.0003018449398759,5600000,5,0
2019-03-15,Colombo Proper,0.0001790542755015,5600000,5,0
2019-03-16,Colombo Proper,0.0003507194301071,5600000,5,0
2019-03-17,Colombo Proper,0.0002494769497451,5600000,5,0
2019-03-18,Colombo Proper,0.0002494769497451,5600000,5,0
2019-03-19,Colombo Proper,0.0002074590335083,5600000,5,0
2019-03-20,Colombo Proper,0.0002559950022304,5600000,5,0
2019-03-21,Colombo Proper,0.0002559950022304,5600000,5,0
2019-03-22,Colombo Proper,0.0002689655073385,5600000,5,0
2019-03-23,Colombo Proper,0.000144005550838,5600000,5,0
2019-03-24,Colombo Proper,0.0002204458373225,5600000,5,0
2019-03-25,Colombo Proper,0.0003577663287879,5600000,5,0
2019-03-26,Colombo Proper,0.0002631266925609,5600000,5,0
2019-03-27,Colombo Proper,0.0003646052956171,5600000,5,0
2019-03-28,Colombo Proper,0.0003906452278091,5600000,5,0
2019-03-29,Colombo Proper,0.0002540006405394,5600000,5,0
2019-03-30,Colombo Proper,0.0002202186895424,5600000,5,0
